Label,Name,ID,Namespace,Abs­tract,Substi­tu­tion Group,Type,Per­iod Type,Bal­ance,Nillable,Typed Domain Ref,Facets,Doc­u­men­ta­tion
esrs:CarryingAmountOfAssetsAtMaterialTransitionRisk,CarryingAmountOfAssetsAtMaterialTransitionRisk,esrs_CarryingAmountOfAssetsAtMaterialTransitionRisk,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,false,xbrli:item,xbrli:monetaryItemType,instant,,true,,,
esrs:CarryingAmountOfLiabilitiesAtMaterialTransitionRisk,CarryingAmountOfLiabilitiesAtMaterialTransitionRisk,esrs_CarryingAmountOfLiabilitiesAtMaterialTransitionRisk,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,false,xbrli:item,xbrli:monetaryItemType,instant,,true,,,
esrs:CarryingAmountOfRealEstateAssets,CarryingAmountOfRealEstateAssets,esrs_CarryingAmountOfRealEstateAssets,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,false,xbrli:item,xbrli:monetaryItemType,instant,,true,,,
esrs:CarryingAmountOfRealEstateAssetsForWhichEnergyConsumptionIsBasedOnInternalEstimates,CarryingAmountOfRealEstateAssetsForWhichEnergyConsumptionIsBasedOnInternalEstimates,esrs_CarryingAmountOfRealEstateAssetsForWhichEnergyConsumptionIsBasedOnInternalEstimates,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,false,xbrli:item,xbrli:monetaryItemType,instant,,true,,,
esrs:Category10ProcessingOfSoldProductsMember,Category10ProcessingOfSoldProductsMember,esrs_Category10ProcessingOfSoldProductsMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category11CloudComputingAndDataCentreServicesMember,Category11CloudComputingAndDataCentreServicesMember,esrs_Category11CloudComputingAndDataCentreServicesMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category11UseOfSoldProductsMember,Category11UseOfSoldProductsMember,esrs_Category11UseOfSoldProductsMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category12EndoflifeTreatmentOfSoldProductsMember,Category12EndoflifeTreatmentOfSoldProductsMember,esrs_Category12EndoflifeTreatmentOfSoldProductsMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category13DownstreamLeasedAssetsMember,Category13DownstreamLeasedAssetsMember,esrs_Category13DownstreamLeasedAssetsMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category14FranchisesMember,Category14FranchisesMember,esrs_Category14FranchisesMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category15InvestmentsMember,Category15InvestmentsMember,esrs_Category15InvestmentsMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category1AMember,Category1AMember,esrs_Category1AMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category1BMember,Category1BMember,esrs_Category1BMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category1CMember,Category1CMember,esrs_Category1CMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category1Member,Category1Member,esrs_Category1Member,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category1PurchasedGoodsAndServicesMember,Category1PurchasedGoodsAndServicesMember,esrs_Category1PurchasedGoodsAndServicesMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category2CapitalGoodsMember,Category2CapitalGoodsMember,esrs_Category2CapitalGoodsMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:Category2IndirectGHGEmissionsFromImportedEnergyMember,Category2IndirectGHGEmissionsFromImportedEnergyMember,esrs_Category2IndirectGHGEmissionsFromImportedEnergyMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
