Resource Relationships,,,Arcrole,Resource,ResourceRole,Language,Name,Namespace,LocalName,References
,,ESRS E1 50 b E1-6,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:PolicyIsMadeAvailableToPotentiallyAffectedStakeholdersAndOrStakeholdersWhoNeedToHelpImplementIt,,,esrs:PolicyIsMadeAvailableToPotentiallyAffectedStakeholdersAndOrStakeholdersWhoNeedToHelpImplementIt,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,PolicyIsMadeAvailableToPotentiallyAffectedStakeholdersAndOrStakeholdersWhoNeedToHelpImplementIt, ESRS ESRS 2 65 f MDR-P Main Mandatory irrespective of MA Conditional MDR-P_06
,,ESRS ESRS 2 65 f MDR-P Main Mandatory irrespective of MA Conditional MDR-P_06,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:ExplanationOfHowPolicyIsMadeAvailableToPotentiallyAffectedStakeholdersAndOrStakeholdersWhoNeedToHelpImplementItExplanatory,,,esrs:ExplanationOfHowPolicyIsMadeAvailableToPotentiallyAffectedStakeholdersAndOrStakeholdersWhoNeedToHelpImplementItExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,ExplanationOfHowPolicyIsMadeAvailableToPotentiallyAffectedStakeholdersAndOrStakeholdersWhoNeedToHelpImplementItExplanatory, ESRS ESRS 2 65 f MDR-P Main Mandatory irrespective of MA Conditional MDR-P_06
,,ESRS ESRS 2 65 f MDR-P Main Mandatory irrespective of MA Conditional MDR-P_06,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:GHGCategoryAxis,,,esrs:GHGCategoryAxis,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,GHGCategoryAxis," ESRS E1 AR 39 c E1-6,  ESRS E1 AR 57 a E1-7,  ESRS E1 34 b E1-4,  ESRS E1 AR 24 E1-4,  ESRS E1 AR 41 E1-6"
,,ESRS E1 AR 39 c E1-6,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS E1 AR 57 a E1-7,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS E1 34 b E1-4,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS E1 AR 24 E1-4,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS E1 AR 41 E1-6,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:GHGCategoryMember,,,esrs:GHGCategoryMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,GHGCategoryMember," ESRS E1 AR 39 c E1-6,  ESRS E1 AR 57 a E1-7,  ESRS E1 34 b E1-4,  ESRS E1 AR 24 E1-4,  ESRS E1 AR 41 E1-6"
,,ESRS E1 AR 39 c E1-6,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS E1 AR 57 a E1-7,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS E1 34 b E1-4,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS E1 AR 24 E1-4,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS E1 AR 41 E1-6,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:ResourcesRelateToAreasOfHighwaterStress,,,esrs:ResourcesRelateToAreasOfHighwaterStress,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,ResourcesRelateToAreasOfHighwaterStress, ESRS E3 19 E3-2 AR 19 - AR 21 Main Mandatory subject to MA E3-2_03
,,ESRS E3 19 E3-2 AR 19 - AR 21 Main Mandatory subject to MA E3-2_03,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:ResourcesRelateToAreasAtWaterRisk,,,esrs:ResourcesRelateToAreasAtWaterRisk,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,ResourcesRelateToAreasAtWaterRisk, ESRS E3 19 E3-2 AR 19 - AR 21 Main Mandatory subject to MA E3-2_03
,,ESRS E3 19 E3-2 AR 19 - AR 21 Main Mandatory subject to MA E3-2_03,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:ActionRelatesToAreasOfHighwaterStress,,,esrs:ActionRelatesToAreasOfHighwaterStress,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,ActionRelatesToAreasOfHighwaterStress, ESRS E3 19 E3-2 AR 19 - AR 21 Main Mandatory subject to MA E3-2_03
,,ESRS E3 19 E3-2 AR 19 - AR 21 Main Mandatory subject to MA E3-2_03,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:ActionRelatesToAreasAtWaterRisk,,,esrs:ActionRelatesToAreasAtWaterRisk,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,ActionRelatesToAreasAtWaterRisk, ESRS E3 19 E3-2 AR 19 - AR 21 Main Mandatory subject to MA E3-2_03
,,ESRS E3 19 E3-2 AR 19 - AR 21 Main Mandatory subject to MA E3-2_03,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:TargetRelatesToManagementOfMaterialImpactsRisksAndOpportunitiesRelatedToAreasAtWaterRiskIncludingImprovementOfWaterQuality,,,esrs:TargetRelatesToManagementOfMaterialImpactsRisksAndOpportunitiesRelatedToAreasAtWaterRiskIncludingImprovementOfWaterQuality,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,TargetRelatesToManagementOfMaterialImpactsRisksAndOpportunitiesRelatedToAreasAtWaterRiskIncludingImprovementOfWaterQuality, ESRS E3 23 a E3-3 Main Mandatory subject to MA E3-3_01
,,ESRS E3 23 a E3-3 Main Mandatory subject to MA E3-3_01,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:SpecificPolicyCommitmentsRelatedToInclusionOrPositiveActionForPeopleFromGroupsAtParticularRiskOfVulnerabilityInOwnWorkforceAreInPlace,,,esrs:SpecificPolicyCommitmentsRelatedToInclusionOrPositiveActionForPeopleFromGroupsAtParticularRiskOfVulnerabilityInOwnWorkforceAreInPlace,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,SpecificPolicyCommitmentsRelatedToInclusionOrPositiveActionForPeopleFromGroupsAtParticularRiskOfVulnerabilityInOwnWorkforceAreInPlace, ESRS S1 24 c S1-1 Main Mandatory subject to MA
,,ESRS S1 24 c S1-1 Main Mandatory subject to MA,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:TypeOfExternalBodyOtherThanAssuranceProviderThatProvidesValidationExplanatory,,,esrs:TypeOfExternalBodyOtherThanAssuranceProviderThatProvidesValidationExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,TypeOfExternalBodyOtherThanAssuranceProviderThatProvidesValidationExplanatory, ESRS ESRS 2 77 b MDR-M Main Mandatory irrespective of MA Conditional MDR-M_03
,,ESRS ESRS 2 77 b MDR-M Main Mandatory irrespective of MA Conditional MDR-M_03,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:MeasurementOfQuantitativeMetricsIsValidatedByExternalBodyOtherThanAssuranceProvider,,,esrs:MeasurementOfQuantitativeMetricsIsValidatedByExternalBodyOtherThanAssuranceProvider,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,MeasurementOfQuantitativeMetricsIsValidatedByExternalBodyOtherThanAssuranceProvider, ESRS ESRS 2 77 b MDR-M Main Mandatory irrespective of MA
,,ESRS ESRS 2 77 b MDR-M Main Mandatory irrespective of MA,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:TypeOfValueChainWorkersSubjectToMaterialImpactsAxis,,,esrs:TypeOfValueChainWorkersSubjectToMaterialImpactsAxis,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,TypeOfValueChainWorkersSubjectToMaterialImpactsAxis, ESRS S2 11 a SBM-3
,,ESRS S2 11 a SBM-3,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:TypeOfValueChainWorkersSubjectToMaterialImpactsMember,,,esrs:TypeOfValueChainWorkersSubjectToMaterialImpactsMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,TypeOfValueChainWorkersSubjectToMaterialImpactsMember, ESRS S2 11 a SBM-3
,,ESRS S2 11 a SBM-3,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:TypesOfValueChainWorkersSubjectToMaterialImpacts,,,esrs:TypesOfValueChainWorkersSubjectToMaterialImpacts,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,TypesOfValueChainWorkersSubjectToMaterialImpacts, ESRS S2 11 a SBM-3 Main Mandatory subject to MA S2.SBM-3_03
,,ESRS S2 11 a SBM-3 Main Mandatory subject to MA S2.SBM-3_03,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
